Economies,2013,2014,2015,2016,2017,2018
GDP (USD million),2811064.9,2852165.8,2438207.9,2471285.6,2586577.5,2777622
GDP Growth (% growth),0.6,1,1.1,1.1,2.3,1.7
Inflation (% growth),0.9,0.5,0,0.2,1,1.9
Unemployment Rate ,10.3,10.3,10.4,10.1,9.4,9.1
Exchange Rates  (EUR per USD),0.8,0.8,0.9,0.9,0.9,0.8
Total Population ('000),63697.9,64028,64300.8,64468.8,64618.4,64725.1
Median Age ,40.7,40.9,41.2,41.4,41.7,41.9
Number of Households ('000),27808.8,28047.7,28255.5,28409.8,28550.3,28666
Consumer Expenditure (USD million),1505504.3,1511623.4,1285488.2,1303328.8,1362036.2,1460049.6
Internet Users ('000),49004.1,50396.6,47180.6,48124.4,49043.8,50129.9
