STFID,STFIDNUM,COUNTYNAME,TRACT,BLKGRP,LOW,LOWMOD,LOWMODUNIV,LOWMODPCT,BLKGRPLABEL,TRACTLABEL,LABELFULL
080310002012,80310002012.0,Denver County,000201,2,615.0,1200.0,2225.0,0.5393,Block Group 2,Tract 2.01,Tract 2.01 Block Group 2
080310044031,80310044031.0,Denver County,004403,1,245.0,640.0,775.0,0.8258,Block Group 1,Tract 44.03,Tract 44.03 Block Group 1
080310003024,80310003024.0,Denver County,000302,4,0.0,20.0,725.0,0.0276,Block Group 4,Tract 3.02,Tract 3.02 Block Group 4
080310030032,80310030032.0,Denver County,003003,2,350.0,490.0,515.0,0.9515,Block Group 2,Tract 30.03,Tract 30.03 Block Group 2
080310021004,80310021004.0,Denver County,002100,4,130.0,280.0,520.0,0.5385,Block Group 4,Tract 21,Tract 21 Block Group 4
080310003035,80310003035.0,Denver County,000303,5,35.0,200.0,800.0,0.25,Block Group 5,Tract 3.03,Tract 3.03 Block Group 5
080310044054,80310044054.0,Denver County,004405,4,800.0,1025.0,4055.0,0.2528,Block Group 4,Tract 44.05,Tract 44.05 Block Group 4
080310068104,80310068104.0,Denver County,006810,4,425.0,740.0,1655.0,0.4471,Block Group 4,Tract 68.10,Tract 68.10 Block Group 4
080310009025,80310009025.0,Denver County,000902,5,725.0,935.0,1530.0,0.6111,Block Group 5,Tract 9.02,Tract 9.02 Block Group 5
080310039011,80310039011.0,Denver County,003901,1,95.0,165.0,2105.0,0.0784,Block Group 1,Tract 39.01,Tract 39.01 Block Group 1
080310035001,80310035001.0,Denver County,003500,1,655.0,720.0,1000.0,0.72,Block Group 1,Tract 35,Tract 35 Block Group 1
080310007025,80310007025.0,Denver County,000702,5,230.0,230.0,400.0,0.575,Block Group 5,Tract 7.02,Tract 7.02 Block Group 5
080310041032,80310041032.0,Denver County,004103,2,70.0,285.0,705.0,0.4043,Block Group 2,Tract 41.03,Tract 41.03 Block Group 2
080310068101,80310068101.0,Denver County,006810,1,85.0,395.0,880.0,0.4489,Block Group 1,Tract 68.10,Tract 68.10 Block Group 1
080310032012,80310032012.0,Denver County,003201,2,540.0,765.0,1495.0,0.5117,Block Group 2,Tract 32.01,Tract 32.01 Block Group 2
080310044033,80310044033.0,Denver County,004403,3,480.0,785.0,1420.0,0.5528,Block Group 3,Tract 44.03,Tract 44.03 Block Group 3
080310068091,80310068091.0,Denver County,006809,1,0.0,195.0,960.0,0.2031,Block Group 1,Tract 68.09,Tract 68.09 Block Group 1
080310029012,80310029012.0,Denver County,002901,2,330.0,570.0,1105.0,0.5158,Block Group 2,Tract 29.01,Tract 29.01 Block Group 2
080310037023,80310037023.0,Denver County,003702,3,255.0,510.0,940.0,0.5426,Block Group 3,Tract 37.02,Tract 37.02 Block Group 3
080310028012,80310028012.0,Denver County,002801,2,165.0,330.0,845.0,0.3905,Block Group 2,Tract 28.01,Tract 28.01 Block Group 2
080310120011,80310120011.0,Denver County,012001,1,405.0,580.0,1325.0,0.4377,Block Group 1,Tract 120.01,Tract 120.01 Block Group 1
080310003021,80310003021.0,Denver County,000302,1,125.0,165.0,875.0,0.1886,Block Group 1,Tract 3.02,Tract 3.02 Block Group 1
080310033001,80310033001.0,Denver County,003300,1,80.0,150.0,1150.0,0.1304,Block Group 1,Tract 33,Tract 33 Block Group 1
080310009023,80310009023.0,Denver County,000902,3,440.0,680.0,1065.0,0.6385,Block Group 3,Tract 9.02,Tract 9.02 Block Group 3
080310031011,80310031011.0,Denver County,003101,1,405.0,655.0,1445.0,0.4533,Block Group 1,Tract 31.01,Tract 31.01 Block Group 1
080310119022,80310119022.0,Denver County,011902,2,340.0,525.0,1495.0,0.3512,Block Group 2,Tract 119.02,Tract 119.02 Block Group 2
080310070884,80310070884.0,Denver County,007088,4,175.0,405.0,1060.0,0.3821,Block Group 4,Tract 70.88,Tract 70.88 Block Group 4
080310040022,80310040022.0,Denver County,004002,2,10.0,90.0,760.0,0.1184,Block Group 2,Tract 40.02,Tract 40.02 Block Group 2
080310043032,80310043032.0,Denver County,004303,2,120.0,125.0,1125.0,0.1111,Block Group 2,Tract 43.03,Tract 43.03 Block Group 2
080310032033,80310032033.0,Denver County,003203,3,30.0,145.0,1155.0,0.1255,Block Group 3,Tract 32.03,Tract 32.03 Block Group 3
080310050024,80310050024.0,Denver County,005002,4,1730.0,2505.0,2950.0,0.8492,Block Group 4,Tract 50.02,Tract 50.02 Block Group 4
080310032022,80310032022.0,Denver County,003202,2,170.0,285.0,780.0,0.3654,Block Group 2,Tract 32.02,Tract 32.02 Block Group 2
080310028024,80310028024.0,Denver County,002802,4,445.0,690.0,1045.0,0.6603,Block Group 4,Tract 28.02,Tract 28.02 Block Group 4
080310030012,80310030012.0,Denver County,003001,2,420.0,555.0,1285.0,0.4319,Block Group 2,Tract 30.01,Tract 30.01 Block Group 2
080310039013,80310039013.0,Denver County,003901,3,85.0,125.0,1535.0,0.0814,Block Group 3,Tract 39.01,Tract 39.01 Block Group 3
080310027031,80310027031.0,Denver County,002703,1,710.0,1040.0,1645.0,0.6322,Block Group 1,Tract 27.03,Tract 27.03 Block Group 1
080310068096,80310068096.0,Denver County,006809,6,120.0,290.0,610.0,0.4754,Block Group 6,Tract 68.09,Tract 68.09 Block Group 6
080310051022,80310051022.0,Denver County,005102,2,60.0,135.0,540.0,0.25,Block Group 2,Tract 51.02,Tract 51.02 Block Group 2
080310068132,80310068132.0,Denver County,006813,2,1340.0,1595.0,1925.0,0.8286,Block Group 2,Tract 68.13,Tract 68.13 Block Group 2
080310070372,80310070372.0,Denver County,007037,2,550.0,730.0,945.0,0.7725,Block Group 2,Tract 70.37,Tract 70.37 Block Group 2
080310120142,80310120142.0,Denver County,012014,2,910.0,1240.0,2370.0,0.5232,Block Group 2,Tract 120.14,Tract 120.14 Block Group 2
080310027032,80310027032.0,Denver County,002703,2,600.0,900.0,1385.0,0.6498,Block Group 2,Tract 27.03,Tract 27.03 Block Group 2
080310027012,80310027012.0,Denver County,002701,2,350.0,630.0,1245.0,0.506,Block Group 2,Tract 27.01,Tract 27.01 Block Group 2
080310068094,80310068094.0,Denver County,006809,4,185.0,845.0,1200.0,0.7042,Block Group 4,Tract 68.09,Tract 68.09 Block Group 4
080310034022,80310034022.0,Denver County,003402,2,170.0,375.0,2525.0,0.1485,Block Group 2,Tract 34.02,Tract 34.02 Block Group 2
080310041033,80310041033.0,Denver County,004103,3,50.0,175.0,965.0,0.1813,Block Group 3,Tract 41.03,Tract 41.03 Block Group 3
080310048012,80310048012.0,Denver County,004801,2,270.0,630.0,1605.0,0.3925,Block Group 2,Tract 48.01,Tract 48.01 Block Group 2
080310043064,80310043064.0,Denver County,004306,4,75.0,210.0,910.0,0.2308,Block Group 4,Tract 43.06,Tract 43.06 Block Group 4
080310083123,80310083123.0,Denver County,008312,3,1170.0,1650.0,2590.0,0.6371,Block Group 3,Tract 83.12,Tract 83.12 Block Group 3
080310068143,80310068143.0,Denver County,006814,3,245.0,655.0,1695.0,0.3864,Block Group 3,Tract 68.14,Tract 68.14 Block Group 3
080310083121,80310083121.0,Denver County,008312,1,890.0,1870.0,2765.0,0.6763,Block Group 1,Tract 83.12,Tract 83.12 Block Group 1
080310043023,80310043023.0,Denver County,004302,3,145.0,300.0,710.0,0.4225,Block Group 3,Tract 43.02,Tract 43.02 Block Group 3
080310042014,80310042014.0,Denver County,004201,4,240.0,305.0,875.0,0.3486,Block Group 4,Tract 42.01,Tract 42.01 Block Group 4
080310032021,80310032021.0,Denver County,003202,1,345.0,605.0,995.0,0.608,Block Group 1,Tract 32.02,Tract 32.02 Block Group 1
080310024021,80310024021.0,Denver County,002402,1,340.0,545.0,995.0,0.5477,Block Group 1,Tract 24.02,Tract 24.02 Block Group 1
080310010001,80310010001.0,Denver County,001000,1,900.0,1275.0,1510.0,0.8444,Block Group 1,Tract 10,Tract 10 Block Group 1
080310041022,80310041022.0,Denver County,004102,2,435.0,570.0,895.0,0.6369,Block Group 2,Tract 41.02,Tract 41.02 Block Group 2
080310040063,80310040063.0,Denver County,004006,3,220.0,315.0,945.0,0.3333,Block Group 3,Tract 40.06,Tract 40.06 Block Group 3
080310036013,80310036013.0,Denver County,003601,3,1070.0,1300.0,1730.0,0.7514,Block Group 3,Tract 36.01,Tract 36.01 Block Group 3
080310017015,80310017015.0,Denver County,001701,5,160.0,265.0,720.0,0.3681,Block Group 5,Tract 17.01,Tract 17.01 Block Group 5
080310028031,80310028031.0,Denver County,002803,1,175.0,435.0,760.0,0.5724,Block Group 1,Tract 28.03,Tract 28.03 Block Group 1
080310014031,80310014031.0,Denver County,001403,1,470.0,975.0,1810.0,0.5387,Block Group 1,Tract 14.03,Tract 14.03 Block Group 1
