Economies,2013,2014,2015,2016,2017,2018
GDP (USD million),2753108.4,3036584.7,2896880,2658076.6,2639715.4,2824824.7
GDP  (% growth),2,2.9,2.3,1.8,1.8,1.4
Inflation (% growth),2.6,1.5,0.1,0.6,2.7,2.5
Unemployment Rate,7.6,6.2,5.4,4.9,4.4,4.1
Exchange Rates (GBP per USD),0.6,0.6,0.7,0.7,0.8,0.7
Total Population ('000),63905.3,64351.2,64853.4,65379,65844.1,66273.6
Median population Age,39.8,39.9,40,40,40,40.1
Number of Households ('000),26828.5,27023.1,27241,27468.4,27669.9,27856.2
Consumer Expenditure (USD million),1705232.6,1870092.1,1788964.6,1648961.8,1645669.5,1773974.7
Internet Users ('000),53816.9,55269.5,55960.8,58152.9,58528.7,59144.2
